,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
60,-375.12995883629,140743.7704,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
61,27893.253141599995,688281.5237,3,1,1,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
62,2757.4676129319137,164142.09699999998,5,1,0,0.0,0.005,-0.016544,0.031439,0.090737,0,1,1,0,0
63,28936.159991435157,852455.2409,5,0,0,0.0,0.005,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
64,2335.570173466377,244580.78399999999,5,0,0,0.04,0.0,-0.016544,0.031439,0.090737,1,0,0,1,0
65,23409.48926671625,181854.8151,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
66,-1331.5342343803125,258503.4015,5,0,0,0.05,0.0,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
67,1008.8532482555987,137108.0886,4,0,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
68,538.402793404413,46984.169519999996,5,0,0,0.0,0.005,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
69,-2057.198564388294,68276.41199,5,1,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
70,3077.1976689143316,114552.6878,4,0,0,0.0,0.003,-0.016544,0.031439,0.090737,0,1,0,1,0
71,69.84635563798078,17693.71342,5,1,1,0.05,0.0,0.0,-0.044133,-0.05567999999999999,0,1,0,1,0
72,-3689.476830918658,135110.4485,5,0,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
73,-16577.2311473,182995.5083,1,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
74,-9828.735761971713,184613.9127,5,0,0,0.0,0.005,-0.043774,-0.022469,0.0036899999999999997,0,1,1,0,0
